,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
17472,5/2/2017 8:00,16.9,70.6,0.08,135.1,117.5,27320.65574,18059.44272,12382.83401
17473,5/2/2017 8:10,17.19,69.32,0.081,278.2,259.9,27887.21311,18367.80186,12616.03239
17474,5/2/2017 8:20,17.83,68.19,0.08,365.6,345.5,28151.60656,18646.43963,12767.61134
17475,5/2/2017 8:30,18.44,66.32,0.082,443.8,417.0,28806.29508,19211.14551,13024.12955
17476,5/2/2017 8:40,19.08,63.39,0.082,387.7,348.3,29259.54098,19378.32817,13508.01619
17477,5/2/2017 8:50,19.47,60.79,0.082,304.1,260.9,29612.06557,19526.93498,13782.02429
17478,5/2/2017 9:00,19.92,59.95,0.078,362.0,307.9,29335.08197,19950.4644,13851.98381
17479,5/2/2017 9:10,20.05,60.05,0.084,274.1,218.0,30329.70492,20336.84211,14376.68016
17480,5/2/2017 9:20,20.63,58.62,0.083,232.9,187.9,30833.31148,20626.62539,14679.83806
17481,5/2/2017 9:30,21.11,58.35,0.084,221.4,181.7,31349.5082,20845.82043,14913.03644
17482,5/2/2017 9:40,21.37,58.29,0.085,229.9,184.1,32041.96721,21258.20433,14959.67611
17483,5/2/2017 9:50,21.61,58.42,0.084,299.1,213.9,32759.60656,21469.96904,14982.99595
17484,5/2/2017 10:00,21.89,56.41,0.082,423.2,248.3,33552.78689,21358.51393,15198.70445
17485,5/2/2017 10:10,22.59,55.58,0.082,430.8,246.6,34094.16393,21436.53251,15490.20243
17486,5/2/2017 10:20,23.0,52.65,0.085,535.5,185.6,34270.42623,21730.03096,15519.35223
17487,5/2/2017 10:30,23.95,49.74,0.082,729.0,184.8,34446.68852,21700.3096,15641.78138
17488,5/2/2017 10:40,24.77,44.31,0.082,515.0,184.5,34723.67213,21666.87307,16049.87854
17489,5/2/2017 10:50,25.3,39.7,0.083,743.0,163.0,34988.06557,22146.13003,16388.01619
17490,5/2/2017 11:00,26.22,33.66,0.086,456.2,221.8,35151.7377,21886.06811,16440.48583
17491,5/2/2017 11:10,26.59,35.1,0.083,800.0,261.8,35227.27869,22060.68111,16586.23482
17492,5/2/2017 11:20,27.41,31.83,0.082,604.1,314.5,35680.52459,22045.82043,16790.2834
17493,5/2/2017 11:30,27.6,30.19,0.08,377.0,269.3,35907.14754,21785.75851,16976.84211
17494,5/2/2017 11:40,27.42,31.73,0.079,425.8,238.1,36423.34426,22209.28793,17180.89069
17495,5/2/2017 11:50,27.87,32.16,0.079,525.1,249.1,36473.70492,22636.53251,17204.21053
17496,5/2/2017 12:00,28.17,30.66,0.077,537.1,261.6,36209.31148,22287.3065,17320.80972
17497,5/2/2017 12:10,28.49,31.3,0.078,724.0,238.8,35894.55738,22186.9969,17256.68016
17498,5/2/2017 12:20,28.2,34.7,0.069,893.0,145.8,35957.5082,22365.32508,17734.73684
17499,5/2/2017 12:30,28.13,37.17,0.065,871.0,126.2,35617.57377,22101.54799,17612.30769
