,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
34944,8/31/2017 16:00,29.9,42.68,4.935,597.9,39.1,34048.56826,19976.76874,16864.70219
34945,8/31/2017 16:10,29.89,42.81,4.93,574.1,38.96,33805.63818,19976.76874,16936.9279
34946,8/31/2017 16:20,29.56,44.68,4.941,548.0,38.72,33863.17425,19953.95987,16882.75862
34947,8/31/2017 16:30,29.05,45.52,4.958,521.7,39.33,33843.99556,19855.12144,16967.02194
34948,8/31/2017 16:40,28.97,45.25,4.937,493.5,39.44,33812.03108,19672.65048,16792.47649
34949,8/31/2017 16:50,29.08,44.38,4.957,466.1,39.98,33799.24528,19562.4076,16635.98746
34950,8/31/2017 17:00,28.86,44.28,4.927,433.5,39.51,33664.99445,19638.43717,16852.66458
34951,8/31/2017 17:10,28.76,44.55,4.926,397.5,38.58,33818.42397,19676.45195,16828.58934
34952,8/31/2017 17:20,28.7,45.12,4.924,375.7,37.37,33933.49612,19539.59873,16948.96552
34953,8/31/2017 17:30,28.6,45.82,4.924,347.7,35.15,34048.56826,19368.53221,16991.09718
34954,8/31/2017 17:40,28.26,46.38,4.93,317.0,33.52,34208.39068,19577.61352,17081.37931
34955,8/31/2017 17:50,28.17,45.85,4.951,250.4,34.3,34617.53607,19741.07709,17195.73668
34956,8/31/2017 18:00,28.13,45.88,4.926,160.4,50.19,34796.53718,19915.94509,15979.9373
34957,8/31/2017 18:10,27.97,46.02,4.922,224.2,171.1,35365.50499,20364.51954,16112.3511
34958,8/31/2017 18:20,27.67,46.75,4.923,193.5,205.6,36023.97336,20885.32207,16894.79624
34959,8/31/2017 18:30,27.49,46.82,4.921,163.1,178.1,37500.73252,21866.10348,17899.9373
34960,8/31/2017 18:40,27.2,47.22,4.933,135.5,149.1,39757.42508,23230.83421,19729.65517
34961,8/31/2017 18:50,26.93,47.78,4.933,108.8,120.4,42506.3707,25424.28722,21029.71787
34962,8/31/2017 19:00,26.48,49.18,4.927,81.5,90.3,44833.38513,26374.65681,22016.80251
34963,8/31/2017 19:10,26.19,49.92,4.931,58.41,64.71,45184.99445,26770.01056,22450.15674
34964,8/31/2017 19:20,25.95,51.21,4.925,40.85,45.27,45945.74917,27214.78353,22516.36364
34965,8/31/2017 19:30,25.69,52.31,4.924,18.06,16.75,46073.6071,27032.31257,22468.21317
